Time        | File Name                                                              
3m40.52s    | Specific/solinas32_2e521m1_19limbs/Synthesis                           
3m38.80s    | Specific/solinas32_2e256m2e32m977_12limbs/femul                        
3m36.60s    | Specific/solinas32_2e488m17_20limbs/Synthesis                          
3m34.39s    | Specific/solinas32_2e511m187_23limbs/freeze                            
3m32.64s    | Specific/solinas32_2e495m31_20limbs/Synthesis                          
3m31.30s    | Specific/solinas32_2e511m187_22limbs/freeze                            
3m30.26s    | Specific/solinas32_2e489m21_20limbs/Synthesis                          
3m27.58s    | Specific/solinas32_2e338m15_13limbs/femul                              
3m27.29s    | Specific/solinas32_2e489m21_19limbs/Synthesis                          
3m27.01s    | Specific/solinas32_2e256m2e32m977_13limbs/fesquare                     
3m25.98s    | Specific/solinas64_2e450m2e225m1_10limbs/femul                         
3m24.82s    | Specific/montgomery32_2e448m2e224m1_14limbs/feadd                      
3m22.77s    | Specific/solinas32_2e379m19_15limbs/fesquare                           
3m20.24s    | Specific/solinas64_2e448m2e224m1_10limbs/femul                         
3m20.18s    | Specific/montgomery32_2e444m17_14limbs/feadd                           
3m20.03s    | Specific/solinas32_2e389m21_15limbs/fesquare                           
3m18.22s    | Specific/solinas32_2e369m25_15limbs/fesquare                           
3m16.98s    | Specific/solinas32_2e488m17_19limbs/Synthesis                          
3m13.82s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_18limbs/fesquare            
3m11.36s    | Specific/solinas32_2e336m17_13limbs/femul                              
3m10.54s    | Specific/solinas32_2e336m3_13limbs/femul                               
3m10.20s    | Specific/solinas32_2e321m9_13limbs/femul                               
3m08.86s    | Specific/solinas32_2e255m765_13limbs/femul                             
3m03.98s    | Specific/solinas32_2e468m17_19limbs/Synthesis                          
3m03.64s    | Specific/solinas32_2e216m2e108m1_10limbs/fesquare                      
2m59.57s    | Specific/montgomery32_2e401m31_13limbs/feadd                           
2m58.16s    | Specific/montgomery32_2e382m105_12limbs/Synthesis                      
2m57.44s    | Specific/montgomery32_2e379m19_12limbs/Synthesis                       
2m57.28s    | Specific/montgomery32_2e383m187_12limbs/Synthesis                      
2m57.04s    | Specific/montgomery32_2e383m421_12limbs/Synthesis                      
2m56.70s    | Specific/montgomery32_2e383m31_12limbs/Synthesis                       
2m56.59s    | Specific/solinas32_2e192m2e64m1_10limbs/femul                          
2m55.85s    | Specific/montgomery32_2e369m25_12limbs/Synthesis                       
2m55.34s    | Specific/solinas32_2e255m765_12limbs/femul                             
2m54.00s    | Specific/montgomery32_2e384m2e128m2e96p2e32m1_12limbs/Synthesis        
2m53.64s    | Specific/montgomery32_2e384m79x2e376m1_12limbs/Synthesis               
2m53.58s    | Specific/montgomery32_2e384m5x2e368m1_12limbs/Synthesis                
2m52.79s    | Specific/montgomery32_2e384m317_12limbs/Synthesis                      
2m52.11s    | Specific/solinas32_2e384m2e128m2e96p2e32m1_19limbs/Synthesis           
2m50.71s    | Specific/solinas32_2e336m17_14limbs/fesquare                           
2m48.87s    | Specific/montgomery32_2e413m21_13limbs/feadd                           
2m48.78s    | Specific/montgomery32_2e389m21_13limbs/feadd                           
2m47.96s    | Specific/solinas32_2e495m31_21limbs/fesub                              
2m47.86s    | Specific/montgomery32_2e414m17_13limbs/feadd                           
2m45.04s    | Specific/solinas32_2e256m189_12limbs/femul                             
2m44.90s    | Specific/solinas32_2e338m15_14limbs/fesquare                           
2m44.76s    | Specific/montgomery32_2e416m2e208m1_13limbs/feadd                      
2m44.34s    | Specific/montgomery64_2e221m3_4limbs/femul                             
2m41.37s    | Specific/solinas64_2e512m569_11limbs/femul                             
2m40.99s    | Specific/solinas32_2e291m19_12limbs/femul                              
2m40.97s    | Specific/solinas32_2e495m31_21limbs/freeze                             
2m40.50s    | Specific/solinas64_2e448m2e224m1_10limbs/fesquare                      
2m39.85s    | Specific/solinas32_2e450m2e225m1_20limbs/freeze                        
2m38.99s    | Specific/solinas32_2e256m2e32m977_12limbs/fesquare                     
2m38.98s    | Specific/solinas64_2e450m2e225m1_10limbs/fesquare                      
2m38.38s    | Specific/solinas64_2e511m187_11limbs/femul                             
2m38.17s    | Specific/solinas64_2e511m481_11limbs/femul                             
